STATE__,BGN_DATE,BGN_TIME,TIME_ZONE,COUNTY,COUNTYNAME,STATE,EVTYPE,BGN_RANGE,BGN_AZI,BGN_LOCATI,END_DATE,END_TIME,COUNTY_END,COUNTYENDN,END_RANGE,END_AZI,END_LOCATI,LENGTH,WIDTH,F,MAG,FATALITIES,INJURIES,PROPDMG,PROPDMGEXP,CROPDMG,CROPDMGEXP,WFO,STATEOFFIC,ZONENAMES,LATITUDE,LONGITUDE,LATITUDE_E,LONGITUDE_,REMARKS,REFNUM
1,4/18/1950 0:00:00,130,CST,97,MOBILE,AL,TORNADO,0,,,,,0,,0,,,14,100,3,0,0,15,25,K,0,,,,,3040,8812,3051,8806,,1
1,4/18/1950 0:00:00,145,CST,3,BALDWIN,AL,TORNADO,0,,,,,0,,0,,,2,150,2,0,0,0,2.5,K,0,,,,,3042,8755,0,0,,2
1,2/20/1951 0:00:00,1600,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,0.1,123,2,0,0,2,25,K,0,,,,,3340,8742,0,0,,3
1,6/8/1951 0:00:00,900,CST,89,MADISON,AL,TORNADO,0,,,,,0,,0,,,0,100,2,0,0,2,2.5,K,0,,,,,3458,8626,0,0,,4
1,11/15/1951 0:00:00,1500,CST,43,CULLMAN,AL,TORNADO,0,,,,,0,,0,,,0,150,2,0,0,2,2.5,K,0,,,,,3412,8642,0,0,,5
1,11/15/1951 0:00:00,2000,CST,77,LAUDERDALE,AL,TORNADO,0,,,,,0,,0,,,1.5,177,2,0,0,6,2.5,K,0,,,,,3450,8748,0,0,,6
1,11/16/1951 0:00:00,100,CST,9,BLOUNT,AL,TORNADO,0,,,,,0,,0,,,1.5,33,2,0,0,1,2.5,K,0,,,,,3405,8631,0,0,,7
1,1/22/1952 0:00:00,900,CST,123,TALLAPOOSA,AL,TORNADO,0,,,,,0,,0,,,0,33,1,0,0,0,2.5,K,0,,,,,3255,8558,0,0,,8
1,2/13/1952 0:00:00,2000,CST,125,TUSCALOOSA,AL,TORNADO,0,,,,,0,,0,,,3.3,100,3,0,1,14,25,K,0,,,,,3334,8740,3336,8738,,9
1,2/13/1952 0:00:00,2000,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,2.3,100,3,0,0,0,25,K,0,,,,,3336,8738,3337,8737,,10
1,2/13/1952 0:00:00,2030,CST,43,CULLMAN,AL,TORNADO,0,,,,,0,,0,,,1.3,400,1,0,0,3,2.5,M,0,,,,,3401,8645,3402,8644,,11
1,2/13/1952 0:00:00,2030,CST,9,BLOUNT,AL,TORNADO,0,,,,,0,,0,,,4.7,400,1,0,0,3,2.5,M,0,,,,,3402,8644,3404,8640,,12
1,2/13/1952 0:00:00,2130,CST,73,JEFFERSON,AL,TORNADO,0,,,,,0,,0,,,0,200,3,0,1,26,250,K,0,,,,,3336,8656,0,0,,13
1,2/29/1952 0:00:00,1700,CST,49,DEKALB,AL,TORNADO,0,,,,,0,,0,,,3.3,400,3,0,0,12,0,K,0,,,,,3430,8542,3432,8540,,14
1,3/3/1952 0:00:00,1310,CST,107,PICKENS,AL,TORNADO,0,,,,,0,,0,,,3.3,440,3,0,0,6,25,K,0,,,,,3320,8754,3322,8752,,15
1,3/22/1952 0:00:00,1500,CST,103,MORGAN,AL,TORNADO,0,,,,,0,,0,,,21.6,100,4,0,4,50,25,K,0,,,,,3436,8700,3441,8638,,16
1,4/4/1952 0:00:00,620,CST,97,MOBILE,AL,TORNADO,0,,,,,0,,0,,,0.2,200,1,0,0,2,25,K,0,,,,,3042,8817,0,0,,17
1,5/10/1952 0:00:00,900,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,0.2,50,1,0,0,0,25,K,0,,,,,3344,8745,0,0,,18
1,5/10/1952 0:00:00,900,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,0.2,50,1,0,0,0,25,K,0,,,,,3344,8745,0,0,,19
1,5/10/1952 0:00:00,900,CST,57,FAYETTE,AL,TORNADO,0,,,,,0,,0,,,0.2,50,1,0,0,0,25,K,0,,,,,3344,8745,0,0,,20
1,1/8/1953 0:00:00,630,CST,47,DALLAS,AL,TORNADO,0,,,,,0,,0,,,0.5,167,1,0,0,0,25,K,0,,,,,3237,8659,0,0,,21
1,1/8/1953 0:00:00,710,CST,121,TALLADEGA,AL,TORNADO,0,,,,,0,,0,,,3,867,2,0,0,0,2.5,K,0,,,,,3325,8607,3327,8605,,22
1,1/20/1953 0:00:00,1500,CST,127,WALKER,AL,TORNADO,0,,,,,0,,0,,,1.5,50,3,0,0,0,2.5,K,0,,,,,3348,8714,0,0,,23
1,1/20/1953 0:00:00,1630,CST,9,BLOUNT,AL,TORNADO,0,,,,,0,,0,,,0,33,,0,0,1,25,K,0,,,,,3406,8630,0,0,,24
1,1/23/1953 0:00:00,500,CST,25,CLARKE,AL,TORNADO,0,,,,,0,,0,,,6.5,300,3,0,0,1,25,K,0,,,,,3132,8800,3134,8754,,25
1,2/20/1953 0:00:00,1610,CST,33,COLBERT,AL,TORNADO,0,,,,,0,,0,,,0.1,20,3,0,1,8,25,K,0,,,,,3442,8742,0,0,,26
1,2/20/1953 0:00:00,1630,CST,93,MARION,AL,TORNADO,0,,,,,0,,0,,,0.5,300,2,0,0,2,25,K,0,,,,,3357,8748,0,0,,27
1,2/20/1953 0:00:00,1645,CST,127,WALKER,AL,TORNADO,0,,,,,0,,0,,,0.7,100,2,0,0,1,25,K,0,,,,,3356,8722,0,0,,28
1,2/20/1953 0:00:00,1900,CST,59,FRANKLIN,AL,TORNADO,0,,,,,0,,0,,,7.1,220,2,0,0,6,25,K,0,,,,,3423,8704,3425,8657,,29
1,3/18/1953 0:00:00,1422,CST,97,MOBILE,AL,TORNADO,0,,,,,0,,0,,,0.1,10,2,0,0,2,2.5,K,0,,,,,3042,8807,0,0,,30
1,3/22/1953 0:00:00,1900,CST,77,LAUDERDALE,AL,TORNADO,0,,,,,0,,0,,,1,200,2,0,0,0,2.5,K,0,,,,,3451,8737,0,0,,31
1,4/6/1953 0:00:00,1545,CST,73,JEFFERSON,AL,TORNADO,0,,,,,0,,0,,,0.5,37,3,0,0,12,2.5,K,0,,,,,3319,8700,0,0,,32
1,4/12/1953 0:00:00,340,CST,9,BLOUNT,AL,TORNADO,0,,,,,0,,0,,,0.5,100,1,0,0,0,25,K,0,,,,,3351,8646,0,0,,33
1,4/18/1953 0:00:00,1700,CST,81,LEE,AL,TORNADO,0,,,,,0,,0,,,34.7,33,3,0,6,195,2.5,M,0,,,,,3236,8535,3230,8500,,34
1,5/1/1953 0:00:00,1715,CST,21,CHILTON,AL,TORNADO,0,,,,,0,,0,,,1.5,100,2,0,0,2,25,K,0,,,,,3302,8645,0,0,,35
1,5/1/1953 0:00:00,1930,CST,27,CLAY,AL,TORNADO,0,,,,,0,,0,,,12.1,440,4,0,7,12,250,K,0,,,,,3313,8556,3318,8545,,36
1,5/1/1953 0:00:00,2000,CST,73,JEFFERSON,AL,TORNADO,0,,,,,0,,0,,,0,33,,0,0,0,2.5,K,0,,,,,3337,8637,0,0,,37
1,5/1/1953 0:00:00,2000,CST,23,CHOCTAW,AL,TORNADO,0,,,,,0,,0,,,0,100,4,0,2,3,25,K,0,,,,,3215,8823,0,0,,38
1,5/4/1953 0:00:00,1830,CST,93,MARION,AL,TORNADO,0,,,,,0,,0,,,0.2,67,1,0,0,2,2.5,K,0,,,,,3355,8749,0,0,,39
1,5/4/1953 0:00:00,1900,CST,73,JEFFERSON,AL,TORNADO,0,,,,,0,,0,,,0,33,0,0,0,0,25,K,0,,,,,3324,8658,0,0,,40
1,12/6/1953 0:00:00,700,CST,67,HENRY,AL,TORNADO,0,,,,,0,,0,,,0,33,1,0,0,0,2.5,K,0,,,,,3123,8524,0,0,,41
